technique,question_id,rank,cosine_sim,chunk_hash,source_file,contains_answer,note,preview
sentence_window,q3,2,0.637775,f12f94fd92f91b79,fda_tops-issues-recall-christopher-ranch-peeled.txt,,,This issue was discovered during a routine store inspection where it was observed that the recalled product was not held at sufficient temperatures to control t
sentence_window,q3,3,0.56148,b00cab4f891449e4,fda_better-bakehouse-snack-company-recalling-certain.txt,,,The problem was discovered after one allergic reaction was reported in connection with the recalled product.
sentence_window,q3,4,0.551805,71c26b5e8eab2de4,fda_frito-lay-issues-voluntary-allergy-alert.txt,,,Those with an allergy or severe sensitivity to milk run the risk of a serious or life-threatening allergic reaction if they consume the recalled product.
sentence_window,q3,5,0.538297,3c4b6c966b493e5b,fda_if-copack-llc-dba-initiative-foods.txt,,,This recall is being conducted based on FDA’s recommendation.
token,q3,1,0.648828,9ad99d1bd98477db,fda_a2-platinum-usa-label-infant-formula.txt,,,"a2 Platinum USA Label Infant Formula Recalled Because of Possible Health Risk Company Announcement Date: May 02, 2026 FDA Publish Date: May 02, 2026 Product Typ"
token,q3,2,0.577773,11720cd7d5308bd6,fda_a2-platinum-usa-label-infant-formula.txt,,,not be used. The recall was initiated by a2MC after cereulide was detected through additional testing of the Product conducted in response to new guidance issue
token,q3,3,0.552838,a08c21c7e85d5e59,fda_tops-issues-recall-christopher-ranch-peeled.txt,,,during a routine store inspection where it was observed that the recalled product was not held at sufficient temperatures to control the hazard. There are no kn
token,q3,4,0.524627,5da21d11932d4740,fda_nara-organics-recalls-all-lots-nara.txt,,,"To date, Nara infant formula has not tested positive for C. botulinum. However, Nara is voluntarily recalling all products currently in market. Nara is taking a"
token,q3,5,0.513855,2ae5e99044893402,fda_ikm-recalls-product-because-possible-health.txt,,,give you an idea. The real product might look a little different. No illnesses have been reported to date. The recall was the result of a routine sampling progr
semantic,q4,1,0.801834,05d3f61f28ea2a3e,fda_direct-source-seafood-llc-recalling-frozen.txt,,,Direct Source Seafood LLC is Recalling Frozen Raw Shrimp Because Product May Have Become Contaminated with Cesium-137 (Cs-137) Company Announcement Date: Decemb
semantic,q4,2,0.612503,95e535b66f0cfc84,fda_tri-union-seafoods-identifies-additional-quantities.txt,,,Tri-Union Seafoods Identifies Additional Quantities of Recalled Genova® Tuna at Limited Retailers Due to Inadvertent Distribution of Previously Recalled Product
semantic,q4,3,0.597791,0a7b81f5716e8f00,fda_gusto-group-inc-recalls-shrimp-paste.txt,,,The company is currently investigating the cause of the issue. Consumer Information: Consumers who purchased the recalled [Klong Kone] Shrimp Paste (Klong Kone)
semantic,q4,4,0.59664,a6f07b78393f210a,fda_prime-food-processing-llc-issues-safety.txt,,,People experiencing these problems should seek immediate medical attention. Recalled Products - Item #AF4110 – Dried Herring Fish- Lot Code: 26020. Expiration: 
semantic,q4,5,0.584816,e1578848d09df8e6,fda_direct-source-seafood-llc-recalling-frozen.txt,,,No illnesses have been reported to date. Consumers who have purchased affected shrimp should not consume the product and should dispose of or return it to the p
sentence_window,q4,1,0.770133,ea0d30c204eebfe0,fda_direct-source-seafood-llc-recalling-frozen.txt,,,Direct Source Seafood LLC is Recalling Frozen Raw Shrimp Because Product May Have Become Contaminated with Cesium-137 (Cs-137) Company Announcement Date: Decemb
sentence_window,q4,2,0.71514,86fbf30f23062f2e,fda_direct-source-seafood-llc-recalling-frozen.txt,,,"The recalled frozen raw shrimp products are as follows, as shown in the images further below: Retailer | Brand | Product Size | UPC Code | Best By Date | Store "
sentence_window,q4,3,0.60255,2c1cd7092c0a4efb,fda_ocinet-inc-recalls-and-kimchi-branded.txt,,,The recall was initiated after it was discovered that the Product was distributed in packaging that did not reveal the presence of fish.
sentence_window,q4,4,0.591255,2216c429a0a2edd2,fda_a2-platinum-usa-label-infant-formula.txt,,,The recall was initiated by a2MC after cereulide was detected through additional testing of the Product conducted in response to new guidance issued by New Zeal
sentence_window,q4,5,0.589583,22eadd29eee50207,fda_gellert-global-group-issues-allergy-alert.txt,,,The recall was initiated after a consumer discovered that the fish-containing product was distributed in packaging that did not reveal the presence of fish.
token,q4,1,0.768693,f884279d50658681,fda_direct-source-seafood-llc-recalling-frozen.txt,,,"sold under the Market 32 and Waterfront Bistro brands because they may have been prepared, packed, or held under insanitary conditions whereby they may have bec"
token,q4,2,0.763115,a1bc15d5b0105360,fda_direct-source-seafood-llc-recalling-frozen.txt,,,"and WY | On or after June 30,2025 The FDA is actively investigating reports of Cs-137 contamination in shipping containers and frozen shrimp products manufactur"
token,q4,3,0.760651,1b681aba349d7f7b,fda_direct-source-seafood-llc-recalling-frozen.txt,,,Direct Source Seafood LLC is Recalling Frozen Raw Shrimp Because Product May Have Become Contaminated with Cesium-137 (Cs-137) Company Announcement Date: Decemb
token,q4,4,0.633958,b94c2171d56c5543,fda_gusto-group-inc-recalls-shrimp-paste.txt,,,"product was directly distributed to the two retailers listed below, located IA and NJ, between April 2023 to December 2023 There were no online sales. 1.Golden "
token,q4,5,0.608564,7d680382b4391458,fda_gusto-group-inc-recalls-shrimp-paste.txt,,,"2000, Product of Thailand. The recalled product was sold in two sizes: - [Klong Kone] Shrimp Paste (Klong Kone) '454 G. (1 LBS)', with UPC: 8853142000313, Produ"
semantic,q5,1,0.672645,1cf9051c73689321,fda_prairie-farms-announces-recall-prairie-farms.txt,yes,,"Prairie Farms Announces Recall of Prairie Farms Gallon Fat Free Milk Company Announcement Date: November 25, 2025 FDA Publish Date: November 26, 2025 Product Ty"
semantic,q5,2,0.643877,39f57c6b8c0e47a6,fda_frito-lay-issues-voluntary-allergy-alert.txt,,,"CST, Monday-Friday). If consumers have an allergy or sensitivity to milk, they should not consume the product and discard it immediately. Frito-Lay has informed"
semantic,q5,3,0.641157,2b505d95afb6664f,fda_prince-bakery-inc-issues-allergy-alert.txt,,,"No illnesses have been reported to date. The recall was initiated after it was discovered during routine FDA inspection that the Spanish Style bread, which incl"
semantic,q5,4,0.626474,b47f09c8b5c913c1,fda_sks-copack-recalls-various-specialty-beverages.txt,,,"for a certain lot of low heat nonfat dry milk powder due to possible Salmonella contamination. According to California Dairies, the recall followed the identifi"
semantic,q5,5,0.621273,191a0fb51a839517,fda_lidl-us-recalls-eridanous-shortbread-cookies.txt,,,"This recall was initiated after foreign language packaging was discovered that did not contain English ingredients, nutrition facts, or allergen declarations. C"
sentence_window,q5,1,0.730113,71c26b5e8eab2de4,fda_frito-lay-issues-voluntary-allergy-alert.txt,no,,Those with an allergy or severe sensitivity to milk run the risk of a serious or life-threatening allergic reaction if they consume the recalled product.
sentence_window,q5,2,0.723944,4e6a4cf56c8e17fa,fda_sugar-foods-issues-recall-specific-lots.txt,no,,"Out of an abundance of caution, and because this milk powder was used in a seasoning ingredient supplied to Sugar Foods, the company is initiating this recall."
sentence_window,q5,3,0.717195,aa3e6ecd2d3bfba8,fda_champion-foods-recalls-some-batches-motor.txt,,,milk powder recall due to a concern of potential Salmonella contamination.
sentence_window,q5,4,0.710624,29292d801ac2f726,fda_ghirardelli-chocolate-company-recalls-powdered-beverage.txt,,,"milk powder recall due to a concern of potential Salmonella contamination, which was supplied to a third-party manufacturer and used as an ingredient in powdere"
sentence_window,q5,5,0.701221,e5618bfabf5cac99,fda_whole-foods-market-issues-allergy-alert.txt,,,Recalled product was cut and plastic wrapped by the pound with Whole Foods Market scale labels and would be identified as follows: Type of Label | Product Descr
token,q5,1,0.66566,918ab086174c4f98,fda_sks-copack-recalls-various-specialty-beverages.txt,,,| 27-Oct-2027 BT371 | Boba Time | PISTACHIO POWDER 5/3.5# | 20260219 | 20-Aug-2027 FN1000 | FANALE | UBE-TARO 10/2# | 20260223 | 24-Aug-2027 SS500 | DENDA | MIL
token,q5,2,0.654483,8892bcff0cd1b1f3,fda_whole-foods-market-issues-allergy-alert.txt,,,"stores in Arizona, California, Connecticut, Massachusetts, New Jersey, New York, and Rhode Island. Recalled product was cut and plastic wrapped by the pound wit"
token,q5,3,0.647503,4688cd3b28106ede,fda_sugar-foods-issues-recall-specific-lots.txt,,,"Inc. due to concerns regarding potential Salmonella contamination in milk powder. Out of an abundance of caution, and because this milk powder was used in a sea"
token,q5,4,0.643901,2bfa26859e1eb2db,fda_hampton-grocers-inc-recalls-its-8.txt,,,"affected lots of Lacnola Lactation Granola. The specific source of the contamination has not yet been determined. To date, neither the finished Lacnola product "
token,q5,5,0.639847,1e09754d91a5e61d,fda_prairie-farms-announces-recall-prairie-farms.txt,,,"Prairie Farms Announces Recall of Prairie Farms Gallon Fat Free Milk Company Announcement Date: November 25, 2025 FDA Publish Date: November 26, 2025 Product Ty"
